ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
346,BIH,Bosnia and Herzegovina,Europe,Europe & Central Asia,3.301000118255615,10460.5205078125,NA,NA,0.8200662136077881,Sí,3,0.097354174,6.269506454467773,NA,0.3600000143051147
571,BWA,Botswana,Africa,Sub-Saharan Africa,2.303697109222412,15842.1298828125,NA,6.914370059967041,2.81226110458374,Sí,2,NA,2.900345802307129,NA,0.5730000138282776
140,BRA,Brazil,Americas,Latin America & Caribbean,211.0495300292969,14033.5654296875,874,5.963469982147217,1.379456877708435,Sí,5,0.066479437,2.050685167312622,53.5,0.5120000243186951
80,BLZ,Belize,Americas,Latin America & Caribbean,0.3903529942035675,NA,NA,7.138390064239502,1.329104661941528,Sí,3,NA,1.644842505455017,NA,NA
940,SLB,Solomon Islands,Oceania,East Asia & Pacific,NA,NA,NA,11.13000011444092,NA,Sí,NA,NA,0.5333389043807983,NA,0.4769999980926514
835,BRN,Brunei Darussalam,Asia,East Asia & Pacific,0.4332849979400635,NA,NA,4.42540979385376,3.078642129898071,Sí,2,NA,15.95715522766113,NA,NA
355,BGR,Bulgaria,Europe,Europe & Central Asia,7.000119209289551,18444.259765625,NA,4.197179794311523,3.148475646972656,Sí,29,0.17548802,5.610857486724854,40.29999923706055,0.5210000276565552
775,MMR,Myanmar,Asia,East Asia & Pacific,54.0454216003418,5838.21728515625,NA,2.139869928359985,2.146213293075562,Sí,1,0.15083334,0.6923049688339233,30.70000076293945,0.2689999938011169
516,BDI,Burundi,Africa,Sub-Saharan Africa,11.53057956695557,651.35888671875,NA,5.346680164337158,2.497152090072632,Sí,4,NA,0.0606324076652527,NA,0.0520000010728836
370,BLR,Belarus,Europe,Europe & Central Asia,9.452410697937012,18727.318359375,NA,4.979479789733887,1.200864553451538,Sí,23,0.42210573,6.122237682342529,25.29999923706055,0.1140000000596046
811,KHM,Cambodia,Asia,East Asia & Pacific,16.48654174804688,3628.56103515625,NA,2.896629810333252,2.228561401367188,Sí,3,NA,0.998288094997406,NA,0.068000003695488
471,CMR,Cameroon,Africa,Sub-Saharan Africa,25.87638092041016,2888.0458984375,NA,3.080879926681519,1.086759209632874,Sí,2,NA,0.3657542169094086,NA,0.119999997317791
20,CAN,Canada,Americas,North America,37.41104888916016,44868.7421875,4640,4.772930145263672,1.286097049713135,Sí,5,0.46693015,15.43061256408691,33.29999923706055,0.7699999809265137
402,CPV,Cabo Verde,Africa,Sub-Saharan Africa,0.549934983253479,6831.2158203125,NA,4.733459949493408,0.4882130920886993,Sí,2,NA,1.126457810401917,NA,0.6779999732971191
482,CAF,Central African Republic (the),Africa,Sub-Saharan Africa,4.745184898376465,623.4888916015625,NA,1.768710017204285,1.915529251098633,Sí,5,NA,0.0460712350904942,NA,0.2240000069141388
